行 87: 控件 WebBrowser1 的类 SHDocVwCtl.WebBrowser 不是一个已加载的控件类。
行 93: 属性名 ExtentX 在 WebBrowser1 中是无效的。
行 94: 属性名 ExtentY 在 WebBrowser1 中是无效的。
行 95: 属性名 ViewMode 在 WebBrowser1 中是无效的。
行 96: 属性名 Offline 在 WebBrowser1 中是无效的。
行 97: 属性名 Silent 在 WebBrowser1 中是无效的。
行 98: 属性名 RegisterAsBrowser 在 WebBrowser1 中是无效的。
行 99: 属性名 RegisterAsDropTarget 在 WebBrowser1 中是无效的。
行 100: 属性名 AutoArrange 在 WebBrowser1 中是无效的。
行 101: 属性名 NoClientEdge 在 WebBrowser1 中是无效的。
行 102: 属性名 AlignLeft 在 WebBrowser1 中是无效的。
行 103: 属性名 NoWebView 在 WebBrowser1 中是无效的。
行 104: 属性名 HideFileNames 在 WebBrowser1 中是无效的。
行 105: 属性名 SingleClick 在 WebBrowser1 中是无效的。
行 106: 属性名 SingleSelection 在 WebBrowser1 中是无效的。
行 107: 属性名 NoFolders 在 WebBrowser1 中是无效的。
行 108: 属性名 Transparent 在 WebBrowser1 中是无效的。
行 109: 属性名 ViewID 在 WebBrowser1 中是无效的。
行 110: 属性名 Location 在 WebBrowser1 中是无效的。
